Tim Burton,director 
James Marshall,director 
Gandja Monteiro,director 
Alfred Gough,writer  
Miles Millar,writer  
Kayla Alpert,writer  
April Blair,writer  
Matt Lambert,writer  
Jenna Ortega,actor
Gwendoline Christie,actor
Riki Lindhome,actor
Emma Myers,actor
Joy Sunday,actor
Naomi J. Ogawa,actor
Christina Ricci,actor
Jamie McShane,actor
Hunter Doohan,actor
Percy Hynes White,actor
Georgie Farmer,actor
Johnna Dias-Watson,actor
Oliver Watson,actor
Victor Dorobantu,actor
Moosa Mostafa,actor
Daniel Himschoot,actor
Luyanda Unati Lewis-Nyawo,actor
Iman Marson,actor
Calum Ross,actor
Cezar Grumazescu,actor
Tommie Earl Jenkins,actor
Catherine Zeta-Jones,actor
Morgan Beale,actor
George Burcea,actor
Islam Bouakkaz,actor
William Houston,actor
Karina Varadi,actor
Rina Mahoney,actor
Georgia Goodman,actor
Murray McArthur,actor
Fred Armisen,actor
Luis Guzm�n,actor
Olimpia Malai,actor
Isaac Ordonez,actor
Nitin Ganatra,actor
Lucius Hoyos,actor
Cheherezade Valentine Okotaka Ebale,actor
Oliver Wickham,actor
Edward Kennedy,actor
Ismail Kesu,actor
Caroline Lawrie,actor
Lachele Carl,actor
Gwen Jones,actor
Lisa O'Hare,actor
Sophia Nomvete,actor
Ichir� Y�ki,actor
Amanda Drew,actor
Ryan Ellsworth,actor
Gloria Garcia,actor
Gracy Goldman,actor
Lewis Hayes,actor
Philip Rosch,actor
Michael Okele,actor
Chloe Cate,actor
Kayla Alpert,executive producer 
Gail Berman,executive producer 
Tim Burton,executive producer 
Jonathan Glickman,executive producer 
Carla Gonz�lez Vargas,co-executive producer 
Alfred Gough,executive producer 
Tommy Harper,executive producer 
Nick Iannelli,co-producer 
Kevin Lafferty,executive producer 
Miles Millar,executive producer 
David Minkowski,co-executive producer 
Kevin Miserocchi,executive producer 
Andrew Mittman,executive producer 
Carmen Pepelea,producer 
Steve Stark,executive producer 
Natalie Testa,associate producer 
Todd Williams,co-executive producer 
Chris Bacon,music 
Danny Elfman,music 
Stephan Pehrsson,cinematography 
David Lanzenberg,cinematography 
Ana Yavari,film editing 
Jay Prychidny,film editing 
Paul G. Day,film editing 
Florina Fernandes,casting 
Sophie Holland,casting 
John Papsidera,casting 
Mark Scruton,production design 
Adrian Curelea,supervising art director 
Ghinea Diana,art direction 
Silvia Nancu,art direction 
Andrei-Florian Popa,assistant art director / additional standby art director 
Serban Porupca,senior art director 
Vlad Roseanu,on-set art director / art director 
Roxana Alexandru,art direction 
Carmen Ratoi,art direction 
Laurentiu Zarnoianu,set direction 
David Morison,set direction 
Rob Hepburn,set direction 
Colleen Atwood,costume design 
Bianca Boeroiu,makeup artist 
Catalin Ciutu,hair stylist supervisor: crowd 
Natalie L Costello,special makeup effects artist 
Julian Hutcheson,special makeup effects artist 
Nirvana Jalalvand,hair & makeup artist: main team 
Grace McComisky,prosthetic artist / prosthetic makeup artist 
Tara McDonald,hair & makeup designer 
Dominic Mombrun,dental effects designer & fabricator 
Angela Ruiz Morales,prosthetics artist 
Paraschiv Oana,makeup artist 
Alexandru Sassu,assistant makeup artist 
Bas Schwarz,special effects makeup artist: mouldmaker & props 
Rub�n Serra,special makeup effects artist 
Margo Stefan,hair stylist 
Viktoria Stieber,prosthetic makeup artist 
Sinead Sweeney,SFX contact lens coordinator 
Iuliana Temelie,hair stylist 
Clara Tudose,hair & makeup artist 
Raquel �lvarez,prosthetic makeup sculptor 
Freda Ellis,makeup supervisor 
Ripley Dale-Gulston,junior hair & makeup artist 
Olimpia Stoicea,hair & makeup artist: main team 
Tia Costell,junior hair & makeup artist 
Susan Cole,personal hair stylist: Luis Guzman 
Jean Carlos de Blas,key hair & makeup artist 
Gabriella Havens,makeup artist 
Sheherezada Kouchaki,makeup artist 
Raluca Moldoveanu,makeup artist 
Andrea Dardea Tesdall,special makeup effects artist 
Nicoleta Toader,hair stylist: cast 
Natalie Fox,additional hair & makeup artist 
Niki De Jong,prosthetic makeup artist 
Ionel Popa,special makeup effects artist 
Athina Sapanidis,prosthethic makeup artist 
Razvan Badea,unit production manager / production manager 
Irene Iovan Calangiu,health & safety unit production manager: covid 
Alexandru Cseh,production manager: second unit 
Emma Mallett,unit production manager: additional photography 
Alexandru Acsinte,assistant director 
Emilie Balusson,second second assistant director / co-second assistant director 
Bianca Bumbacea,assistant director 
Simona Dinu,second assistant director 
Mariana Grama,crowd second assistant director 
Mircea Hategan,first assistant director 
Stefania Ispas,trainee assistant director 
Loyzo,third assistant director 
Raphael Tudor,third assistant director 
Costin Sforaru,assistant director 
Sabina Balan,crowd first assistant director 
Brett Chan,second unit director 
Ada Dumitru,cast assistant 
Emyr Glyn Rees,second assistant director / first assistant director 
Jessica Kirec,second assistant director 
George Walker,first assistant director 
Richard O'Brien-Moran,first assistant director 
Mihaela Ionita,second assistant director 
Alexandra Popa,crowd second assistant director 
Alexandru Trandafira,crowd assistant director 
Sucioaia Alexandra,set dressing painter 
Tache Alexandru,graphic designer 
Corneliu Mihai Bonciu,sculptor 
Rachel Garlick,storyboard artist 
Florin Gavrila,lead set dressing painter 
Adi Handac,property master 
Dana Ilie,art department manager 
Alexandru Titus Ipate,action vehicles supervisor 
Simona Maican,art department coordinator 
Cristian Mihaila,assistant set decorator / set decoration buyer 
Cosmin Miroiu,head of greenery 
Amalia Mititelu,set dressing painter 
Pietro Nume,concept artist 
Iulia Petrescu,assistant set decorator 
Madalina Ripanu,clearance coordinator 
Geaniloni Sandru,lead painter 
Eusebiu Sirbu,head graphic designer 
Cristina Stefan,graphic designer 
Alexandra Tudor,assistant art director 
Laurentiu Zarnoianu,leadman 
Liviu Antonescu,graphic designer 
Madalina Ciosu,set designer 
Tudor Iordachescu,set designer 
Anca Iscru,set designer 
Ana Neag,assistant art director 
Iulia Pasarica,assistant art director 
Andreea Siminea,set designer 
Amy Lockwood,assistant set decorator 
Andrew Cherry,storyboard artist 
Cristian Darstar,storyboard artist 
Adrian Curelea,supervising art director 
Serban Porupca,senior art director 
Radu Costache,assistant property master 
Jennifer Keen,first set decoration buyer 
Karen Krizanovich,production design researcher 
Ben Livingstone,illustrator 
Yohann Angelvy,french casting mixer 
Michael Baskerville,re-recording mixer 
Nicolae Comarzan,sound mixer: second unit 
Tony Diaz,adr mixer 
Arturo A. Fuenmayor,re-recording mix assistant / additional re-recording mixer 
Alastair Gray,dialogue editor 
Justin Helle,foley mixer 
John Loranger,supervising sound editor 
Liviu Lupsa,sound mixer 
Kristi McIntyre,adr editor / sound effects editor 
Sean Miller,adr recordist 
Faustine Pelipel,assistant sound editor 
Dan Sexton,sound effects editor 
Alex Stylianou,adr recordist 
Jamie Sulek,re-recording mixer 
Mike Tehrani,adr mixer 
Marcus Byrne,adr mixer 
Greg Crawford,adr mixer 
Juan Martin Del Campo,adr mixer 
Tim McKeever,adr mixer 
Simon Diggins,adr mixer 
Jonathan Gomez,adr mixer 
Nathan Jackson,foley editor 
William Kellerman,foley artist 
Leslie Liu,adr mixer 
Ana Quiroga,audio coordinator (uncredited) 
Dan Barcutean,special effects technician 
Max Costello,special effects technician 
Florin Stoian,special effects technician 
Harry Troughton,special effects coordinator 
Jason Troughton,special effects supervisor 
Adrian Nica,lead technician 
Ilinca Angelescu,special effects makeup 
Yovko Dogandjiiski,special effects supervisor 
Antonia Tocheva,special effects office coordinator 
Matthew Adams,digital compositor: Ghost VFX Toronto 
Oana Bardan,visual effects coordinator 
Craig Calvert,visual effects supervisor: Mr. X 
Kevin Chandoo,head of studio: Ghost VFX Toronto 
Nick Colangelo,visual effects producer: Mr. X 
John Coldrick,visual effects supervisor: Rocket Science VFX 
Sam Cole,lighting lead: Mr. X 
Chris Cooper,cg supervisor: Mr. X 
Roger Dalupang,lead render wrangler/pipeline td 
Swedyl DSouza,visual effects production manager 
Maxime Ducharme,visual effects artist: MELS 
Paula Fanaia,digital compositor: Ghost VFX Toronto 
Mariah Fleetham,visual effects production assistant: Take 5 VFX 
Kathryn Foster,visual effects editor: Ghost VFX Toronto 
Ben Funk,lead compositor: Take 5 VFX 
Keith Goh,visual effects assistant editor: MPC 
Kari-Lyn Gravel,visual effects associate line producer: Stereo D 
Jon Howard,visual effects producer: Ghost VFX Toronto 
Kent Johnson,visual effects producer 
Anna Joukova,compositor: Take 5 VFX / visual effects compositor: Take 5 VFX 
Jesse Kawzenuk,on-set visual effects supervisor 
Grant Lee,visual effects supervisor: Stereo D 
Jake Lunt Davies,concept design 
Dumitrana Teodora Lupu,visual effects production assistant 
Amy Madigan,visual effects production manager: Stereo D 
Yael Majors,visual effects assistant supervisor: Stereo D 
Mariano Mendoza,assets lead: Mr. X 
Guillermo Molina,lead tools developer 
Skye Morandin,visual effects production manager: Stereo D 
Tom Nagy,animation supervisor: Mr. X 
Ken Nielsen,compositing supervisor: Ghost VFX Toronto 
Razvan Nineaca,data wrangler 
Anthony O'Connell,Render Wrangler 
Catalin Otelea,data wrangler 
Matei Ovejan,data wrangler 
Alessandro Pantanella,visual effects supervisor: Ghost VFX Toronto 
Travis Pond,compositor: Take 5 VFX 
Yawar Raja,layout lead: Mr. X 
Aditya Sawant,visual effects coordinator: Ghost VFX Toronto 
Matt Schofield,vfx head of operations 
Ksenia Shutova,compositor: Take 5 VFX 
Mark Simone,visual effects producer: Stereo D 
Denis St-Pierre,compositor: Take 5 VFX 
Ryan Terk,Senior Visual Effects Coordinator / visual effects coordinator: MELS 
Jason Teske,rigging lead: Mr. X 
Tom Turnbull,visual effects supervisor 
Fabi�n Varela,visual effects producer: Ghost VFX Toronto 
Kelly Weisz,visual effects studio manager: Take 5 VFX 
Angela Zhang,visual effects production manager: Mr. X 
Kayden Anderson,visual effects producer: Rocket Science VFX 
Eddie Englander,visual effects supervisor: Monsters Aliens Robots Zombies 
Rashid Khallouk,compositing lead: Mr. X 
Timothy Mah,visual effects editor: Rocket Science VFX 
Michael Osuszek,visual effects coordinator: Rocket Science VFX 
Rodrigo Paiva,compositing lead: Monsters Aliens Robots Zombies 
Suresh Pandi,lead compositor: Rocket Science VFX / compositor: Rocket Science VFX 
Francois Robert,matchmove/layout artist: MELS 
Adam Smith,lead compositor: Rocket Science VFX 
Sarvesh Amre,visual effects production manager: NetFX Mumbai 
Beno�t Bri�re,visual effects supervisor: MELS 
Paul Chambers,assets supervisor: Monsters Aliens Robots Zombies 
Dipak Gaur,digital compositor: Ghost VFX Toronto 
Taraknath Ghosh,paint artist: Stereo D 
Baz Lanaris,cg supervisor: MELS 
Prateek Mishra,paint artist: Stereo D 
Erin Nicholson,cg supervisor: Ghost VFX Toronto 
Bikram Singh,paint artist: Stereo D 
Khushroo Surveyor,visual effects lighter: Rocket Science VFX 
Ramesh Kumar Yanagandhula,paint artist: Stereo D 
Lynx Zuo,digital compositor: Ghost VFX Toronto 
Patti Gannon,compositor: Take 5 VFX 
Tanya Haddad,visual effects producer: Folks VFX 
JoAnna Johnson,compositor: Rocket Science VFX 
Luca Lim Diniz,visual effects artist: MELS 
Brodie McNeill,visual effects supervisor: Folks VFX 
Tabata Ortiz,visual effects artist: MELS 
Nishant Patel,visual effects lighter: Rocket Science VFX 
Umapathy Rajarathinam,compositor: Rocket Science VFX 
Genesis Rivas,compositor: Take 5 VFX 
Manish Rohith,compositing artist: Monsters Aliens Robots Zombies 
Luca Gabriele Rossetti,digital matte painter/environment supervisor: Monsters Aliens Robots Zombies 
Salil Thapa,visual effects line producer: NetFX Mumbai 
Fran�ois Trudel,visual effects artist: MELS / visual effects supervisor: MELS 
Wesley While,compositor: Take 5 VFX 
Kaylie Whitcher,visual effects producer: Folks VFX 
Sarah Wormsbecher,visual effects executive producer: Folks VFX 
Summer Zong,cg supervisor: Folks VFX 
Oksana Andrulis,visual effects production manager: Folks VFX / animation coordinator: Folks VFX 
David Dionne,visual effects artist: MELS 
Josh George,fx lead: Folks VFX 
James Takashi Higuchi,lighting supervisor: Monsters Aliens Robots Zombies 
Christopher Jude,compositor: Rocket Science VFX 
Jos� Lasa,compositor: Rocket Science VFX / visual effects lighter: Rocket Science VFX 
Marco Lee,compositing supervisor: Folks VFX 
Dinaaz Mathur,visual effects production coordinator: NetFX Mumbai 
Ben McDougal,surfacing lead: Monsters Aliens Robots Zombies 
Sumit Mukherjee,paint supervisor: NetFX Mumbai 
Isha Nigam,head of production: NetFX Mumbai 
Ryan Jae Wook Park,layout supervisor: Folks VFX 
Gustavo Sanchez-Perez,fx supervisor: Monsters Aliens Robots Zombies 
Kyle Sim,head of 2d: Folks VFX 
Pankaj Umbarkar,junior paint lead: NetFX Mumbai 
Sahil Agrahari,junior paint artist: NetFX Mumbai 
